Date,Centre_Name,Commodity_Name,Price
01-01-09,CHANDIGARH,Wheat,NA
01-01-09,DELHI,Wheat,1140
01-01-09,SHIMLA,Wheat,NA
01-01-09,SRINAGAR,Wheat,NA
01-01-09,JAMMU,Wheat,NA
01-01-09,AMRITSAR,Wheat,1000
01-01-09,LUDHIANA,Wheat,1100
01-01-09,LUCKNOW,Wheat,NA
01-01-09,DEHRADUN,Wheat,NA
01-01-09,RAIPUR,Wheat,NA
01-01-09,AHMEDABAD,Wheat,NA
01-01-09,BHOPAL,Wheat,1050
01-01-09,MUMBAI,Wheat,NA
01-01-09,JAIPUR,Wheat,1200
01-01-09,PATNA,Wheat,NA
01-01-09,RANCHI,Wheat,NA
01-01-09,BHUBANESHWAR,Wheat,1220
01-01-09,KOLKATA,Wheat,NA
01-01-09,GUWAHATI,Wheat,NA
01-01-09,SHILLONG,Wheat,NA
01-01-09,AIZWAL,Wheat,NA
01-01-09,KOHIMA,Wheat,NA
01-01-09,AGARTALA,Wheat,NA
01-01-09,BENGALURU,Wheat,1500
01-01-09,T.PURAM,Wheat,NA
01-01-09,CHENNAI,Wheat,NA
01-01-09,HYDERABAD,Wheat,NA
02-01-09,CHANDIGARH,Wheat,NA
02-01-09,DELHI,Wheat,NA
02-01-09,SHIMLA,Wheat,NA
02-01-09,SRINAGAR,Wheat,NA
02-01-09,JAMMU,Wheat,NA
02-01-09,AMRITSAR,Wheat,1000
02-01-09,LUDHIANA,Wheat,1100
02-01-09,LUCKNOW,Wheat,NA
02-01-09,DEHRADUN,Wheat,NA
02-01-09,RAIPUR,Wheat,NA
02-01-09,AHMEDABAD,Wheat,NA
02-01-09,BHOPAL,Wheat,NA
02-01-09,MUMBAI,Wheat,NA
02-01-09,JAIPUR,Wheat,1200
02-01-09,PATNA,Wheat,NA
02-01-09,RANCHI,Wheat,NA
02-01-09,BHUBANESHWAR,Wheat,1220
02-01-09,KOLKATA,Wheat,NA
02-01-09,GUWAHATI,Wheat,NA
02-01-09,SHILLONG,Wheat,NA
02-01-09,AIZWAL,Wheat,NA
02-01-09,KOHIMA,Wheat,NA
02-01-09,AGARTALA,Wheat,NA
02-01-09,BENGALURU,Wheat,1500
02-01-09,T.PURAM,Wheat,NA
02-01-09,CHENNAI,Wheat,1540
02-01-09,HYDERABAD,Wheat,NA
05-01-09,CHANDIGARH,Wheat,NA
05-01-09,DELHI,Wheat,1140
05-01-09,SHIMLA,Wheat,NA
05-01-09,SRINAGAR,Wheat,NA
05-01-09,JAMMU,Wheat,NA
05-01-09,AMRITSAR,Wheat,1000
05-01-09,LUDHIANA,Wheat,1100
05-01-09,LUCKNOW,Wheat,NA
05-01-09,DEHRADUN,Wheat,NA
05-01-09,RAIPUR,Wheat,NA
05-01-09,AHMEDABAD,Wheat,NA
05-01-09,BHOPAL,Wheat,NA
05-01-09,MUMBAI,Wheat,NA
05-01-09,JAIPUR,Wheat,NA
05-01-09,PATNA,Wheat,NA
05-01-09,RANCHI,Wheat,NA
